unit: [ms]

100

seq	0.2372960007	0.2381890081	0.2347569971	
1	0.2612879907	0.2682199993	0.2578409913	
2	0.1753980032	0.1939079957	0.1691939979	
4	0.1135369967	0.1172150005	0.1160940010	
8	0.1257440017	0.2562350128	0.1319319999	
16	0.7756639970	0.5884320126	0.6558389869	
32	1.2078440050	1.0896800086	1.1658930453	
64	2.2975630127	3.6351410672	2.5246019941	
128	4.6134660952	6.1422060244	6.7199859768	

reproducible

seq	0.6833730149	0.6883150199	0.7798569859	
1	0.7457850152	0.7275380194	0.7329459768	
2	0.8469370077	0.7384120254	0.7570179878	
4	0.6167149986	0.4146530118	0.4674179945	
8	0.6252140156	0.6261009839	0.6219919887	
16	2.2300619166	2.3415850010	2.7269120328	
32	3.8815489970	4.1146688163	3.8783759810	
64	8.3308331668	7.6277521439	7.7137500048	
128	15.4861453921	16.5750961751	16.2250902504	

204800.txt

seq	788.8314127922	761.9847655296	756.1417818069	
1	760.1171135902	747.0690011978	747.1570968628	
2	400.3527164459	397.1414864063	395.5951929092	
4	253.2518506050	259.3353092670	319.6575641632	
8	151.0346829891	152.8292745352	149.1261571646	
16	164.1522496939	169.8652356863	189.6603256464	
32	166.9344156981	171.1885035038	168.4110313654	
64	177.2767603397	175.4894405603	173.6476421356	
128	179.6639114618	186.3582283258	188.0909800529	

reproducible

seq	2078.7851810455	2079.0617465973	2077.2712230682	
1	2107.5937747955	2136.1918449402	2104.4716835022	
2	1219.2859649658	1207.3757648468	1211.9768857956	
4	655.8886170387	721.1831808090	700.9825706482	
8	405.7758450508	412.8979146481	428.3410012722	
16	429.9039244652	419.3964898586	415.8148169518	
32	476.6370952129	449.6676027775	439.4704699516	
64	453.3101320267	444.0842270851	437.8217458725	
128	462.2868299484	461.4513218403	468.7884747982	

819200.txt

seq	3169.5730686188	3172.3160743713	3228.7654876709	
1	3170.9027290344	3183.2101345062	3171.2532043457	
2	1862.2722625732	1863.3719682693	1857.9335212708	
4	974.6469259262	1060.3442192078	994.2863583565	
8	702.3748159409	698.8726854324	738.5472655296	
16	783.9362621307	919.3138480186	848.5894203186	
32	741.9606447220	765.8564448357	749.0657567978	
64	727.0763516426	732.2794198990	769.3965435028	
128	756.4607262611	751.5317201614	757.2878599167	

reproducible

seq	9763.8063430786	9762.7935409546	9749.7167587280	
1	9960.4616165161	10002.2888183594	9991.8947219849	
2	5773.9281654358	5764.0233039856	5757.3251724243	
4	2963.5004997253	3125.1959800720	2943.6926841736	
8	1840.7846689224	1845.5315828323	1840.4870033264	
16	1939.2048120499	1923.5639572144	1930.2746057510	
32	1918.2841777802	2019.6969509125	1984.3484163284	
64	1921.4859008789	1849.2521047592	1850.3687381744	
128	1884.4974040985	1866.2773370743	1879.8379898071	

kdd_cup

seq	3562.8528594971	3538.3396148682	3540.3757095337	
1	3557.9266548157	3535.0873470306	3633.5313320160	
2	2056.2787055969	2058.2873821259	2064.8584365845	
4	1536.4685058594	1206.8772315979	1081.0431241989	
8	778.4544825554	774.8096585274	772.6812362671	
16	931.4727187157	926.5404343605	847.4733829498	
32	981.8934798241	858.2336902618	849.1703867912	
64	844.5088863373	856.2848567963	944.6787238121	
128	885.8103752136	884.9684000015	871.4305162430	

reproducible

seq	10949.2731094360	10945.1246261597	10925.4512786865	
1	11167.0951843262	11200.8218765259	11203.0229568481	
2	6402.3280143738	6423.8810539246	6415.4090881348	
4	3466.5727615356	3378.8018226624	3501.3372898102	
8	2114.0322685242	2096.1706638336	2089.2660617828	
16	2189.5544528961	2207.5514793396	2210.6096744537	
32	2261.7058753967	2244.3647384644	2177.7846813202	
64	2158.7619781494	2212.3298645020	2106.6832542419	
128	2196.1956024170	2252.5873184204	2236.6921901703	

